Frame,Number of Cells
1,4312
2,4420
3,4367
4,4248
5,3988
6,4092
7,4227
8,3725
9,3952
10,3829
11,3895
12,3842
13,3882
14,3638
15,3779
16,3721
17,3844
18,3833
19,3786
20,3920
21,3799
22,3678
23,3920
24,3725
25,3815
26,3845
27,3911
28,3880
29,3885
30,3926
31,3895
32,3886
33,3939
34,3897
35,3914
36,3963
37,3888
38,3942
39,3834
40,3764
41,3894
42,3753
43,3958
44,3831
45,3903
46,3954
47,3874
48,3802
49,3909
50,3853
51,3811
52,3732
53,3915
54,3784
55,3773
56,3811
57,3800
58,3820
59,3760
60,3752
61,3689
62,3795
63,3762
64,3745
65,3737
66,3843
67,3810
68,3737
69,3691
70,3754
71,3730
72,3756
73,3660
74,3554
75,3835
76,3735
77,3679
78,3752
79,3657
80,3747
81,3784
82,3597
83,3693
84,3666
85,3664
86,3574
87,3598
88,3655
89,3716
90,3590
91,3630
